Euro	EUR	€
Dólar estadounidense	USD	$
Yen japonés	JPY	¥
Libra esterlina	GBP	£
Franco suizo	CHF	?
Dólar canadiense	CAD	$
Dólar australiano	AUD	$
Peso mexicano	MXN	$
Yuan chino	CNY	¥
Real brasileño	BRL	R$
Rupia india	INR	₹
Rublo ruso	RUB	₽
Won surcoreano	KRW	₩
Rial saudí	SAR	﷼
Lira turca	TRY	₺
Peso argentino	ARS	$
Dólar neozelandés	NZD	$
Ringgit malayo	MYR	RM
Peso chileno	CLP	$
Peso colombiano	COP	$
Sol peruano	PEN	S/
Dólar singapurense	SGD	$
Corona noruega	NOK	kr
Corona sueca	SEK	kr
Corona danesa	DKK	kr
Forinto húngaro	HUF	Ft
Zloty polaco	PLN	zł
Baht tailandés	THB	฿
Dólar hongkonés	HKD	$
Peso filipino	PHP	₱
Rupia indonesia	IDR	Rp
Dinar kuwaití	KWD	?
Dirham emiratí	AED	?
Peso dominicano	DOP	RD$
Bolívar venezolano	VES	Bs
Quetzal guatemalteco	GTQ	Q
Dólar jamaicano	JMD	$
Córdoba nicaragüense	NIO	C$
Colon costarricense	CRC	₡
Libra egipcia	EGP	E£
Dólar trinitense	TTD	$
Lek albanés	ALL	L
Kuna croata	HRK	kn
Shekel israelí	ILS	₪
Peso uruguayo	UYU	$
Dólar taiwanés	TWD	NT$
Dong vietnamita	VND	₫
Rupia paquistaní	PKR	₨
Afghani afgano	AFN	؋
